FROM | (68.64, 122.83) to (97.51, 132.71)
WELL | (100.08, 122.83) to (127.41, 132.71)
# | (130.08, 122.83) to (135.57, 132.71)
522 | (138.24, 122.83) to (154.77, 132.71)
CA-907106 | (69.84, 139.15) to (119.49, 149.03)
SHT | (122.16, 139.15) to (141.64, 149.03)
002 | (144.48, 139.15) to (161.01, 149.03)
(SLOT | (68.64, 155.47) to (97.48, 165.35)
2) | (100.08, 155.47) to (108.89, 165.35)
FROM | (68.4, 194.83) to (97.27, 204.71)
WELL | (99.84, 194.83) to (127.17, 204.71)
# | (129.84, 194.83) to (135.33, 204.71)
522 | (138.0, 194.83) to (154.53, 204.71)
CA-907106 | (69.6, 211.15) to (119.25, 221.03)
SHT | (121.92, 211.15) to (141.4, 221.03)
002 | (144.24, 211.15) to (160.77, 221.03)
(SLOT | (68.4, 227.47) to (97.24, 237.35)
2) | (99.84, 227.47) to (108.65, 237.35)
FROM | (68.4, 266.83) to (97.27, 276.71)
WELL | (99.84, 266.83) to (127.17, 276.71)
# | (129.84, 266.83) to (135.33, 276.71)
524 | (138.0, 266.83) to (154.53, 276.71)
CA-907106 | (69.6, 283.15) to (119.25, 293.03)
SHT | (121.92, 283.15) to (141.4, 293.03)
004 | (144.24, 283.15) to (160.77, 293.03)
(SLOT | (68.4, 299.47) to (97.24, 309.35)
4) | (99.84, 299.47) to (108.65, 309.35)
FROM | (68.16, 338.83) to (97.03, 348.71)
WELL | (99.6, 338.83) to (126.93, 348.71)
# | (129.6, 338.83) to (135.09, 348.71)
524 | (137.76, 338.83) to (154.29, 348.71)
- | (1178.64, 345.87) to (1181.42, 356.04)
CA-907106 | (69.36, 355.15) to (119.01, 365.03)
SHT | (121.68, 355.15) to (141.16, 365.03)
004 | (144.0, 355.15) to (160.53, 365.03)
(SLOT | (68.4, 371.47) to (97.24, 381.35)
4) | (99.84, 371.47) to (108.65, 381.35)
TO | (2289.6, 382.03) to (2303.29, 391.91)
SLOPS | (2305.92, 382.03) to (2338.67, 391.91)
TANK | (2341.44, 382.03) to (2367.71, 391.91)
CA-907106 | (2290.8, 398.35) to (2340.46, 408.23)
SHT | (2343.12, 398.35) to (2362.6, 408.23)
017 | (2365.44, 398.35) to (2381.98, 408.23)
FROM | (68.4, 410.83) to (97.27, 420.71)
WELL | (99.84, 410.83) to (127.17, 420.71)
# | (129.84, 410.83) to (135.33, 420.71)
526 | (138.0, 410.83) to (154.53, 420.71)
CA-907106 | (69.6, 427.15) to (119.25, 437.03)
SHT | (121.92, 427.15) to (141.4, 437.03)
006 | (144.24, 427.15) to (160.77, 437.03)
(SLOT | (68.4, 443.47) to (97.24, 453.35)
6) | (99.84, 443.47) to (108.65, 453.35)
